TICKER	6m	1y	5y	10y	STATUS
MAR	0.20863994395285318	0.3993783555483516	0.6727709119836391	4.092770646016319	Passed
MTCH	0.044232922732362775	-0.22758335059018434	-0.2988800878185585	0	Failed
MAT	0.17798060467769522	0.04082661290322574	0.42217630853994487	-0.4055877628798914	Failed
META	0.4596483109671449	1.363656800299738	1.004894171486684	5.180054858934169	Passed
MMAT	-0.48551919001648225	-0.6754307783719549	-0.885	-0.9647580645161291	Failed
MSFT	0.1271084636112658	0.41061074453833385	2.0813121422115093	10.534164402197854	Passed
MSEX	-0.16940397136511468	-0.09824138136221262	0.5597113551571291	3.0259136493446124	Failed
MNST	-0.04927701674277023	0.10687783807730636	0.7786082932906211	4.780219780219781	Failed
MYGN	-0.34633519074153446	-0.2227319062181448	-0.6541165797232933	-0.3926722421346077	Failed
FIZZ	-0.10217138425746405	0.1874358974358975	0.01826769160407403	5.322011685687763	Failed
NTES	0.13628432549018726	0.3198739490304274	1.5527803910857534	7.202302885513924	Passed
NFLX	0.1243037750861993	0.6974860956618465	0.08584033015511588	7.160397335694761	Passed
NTIC	0.08742155571895154	0.0003539349703481281	-0.20427557902376156	0.5920663929501301	Failed
NVDA	0.6928937822166618	2.7917731399083254	5.842557772677317	124.10798840833287	Passed
NXPI	0.18203464141920186	0.33904512128578485	1.577268188958228	4.560973156331468	Passed
ONB	0.06166621390445005	-0.13442717156419662	-0.14099860397421807	0.43433882534990526	Failed
ORLY	0.04763508413363834	0.26925728435358837	1.6469984155859396	6.101306675062972	Passed
PCAR	0.28588815654086097	0.5606880729034722	1.346912768782948	2.3817452248504924	Passed
PACW	-0.21464419126853548	-0.660371954821272	-0.8081336410772385	-0.6775501013285296	Failed
PZZA	-0.15070935442422786	-0.04513636268372066	0.3764234186215633	1.1077838177221884	Failed
PYPL	-0.2293223052294556	-0.3593212820228457	-0.3054820870401539	0	Failed
PTON	-0.5521472392638037	-0.4119677790563866	0	0	Failed
PEP	-0.1182984022768353	0.018756975393227862	0.7342616485710112	1.68150200246921	Failed
TROW	-0.0438897291145685	0.005215984665929911	0.11375061187600906	0.9553462911391194	Failed
QCOM	-0.08576554767491915	-0.058774794382868506	0.7747927567711193	1.1771571291685645	Failed
ROLL	0.1052704899001626	0.10810055865921786	0.5401508832799612	2.7947862742315803	Passed
REGN	0.009460258467776032	0.1580907291277324	1.1353600326722313	1.7108554763447827	Passed
RGLD	-0.23676438915232956	0.12785767458921787	0.449695403103796	1.4559622983709926	Failed
SEIC	0.031611851384027494	0.20891708886943894	0.04142974065444409	1.0807540094322743	Failed
SIRI	0.0954785402800092	-0.24889844733529162	-0.22211759592923244	0.22587181096969353	Failed
SKYW	0.8504672897196262	1.4034682080924854	-0.2047508391427834	2.0938420786332927	Passed
SWBI	0.11626147005959706	0.3138981678307522	0.25370654767079087	0.7086591369823344	Failed
SOHU	-0.3265592151366503	-0.41616038882138523	-0.4373536299765808	-0.8891580161476356	Failed
SEDG	-0.5576291749928632	-0.4085965079667971	2.26408636124276	0	Failed
SFM	0.223729792147806	0.5870460501684762	0.5764224618817404	-0.11907730673316702	Passed
SBUX	-0.10391323208728029	0.08946874723459489	0.8390572001617275	1.8762619733665604	Failed
SFIX	-0.2853881278538813	-0.19537275064267356	-0.8809885931558936	0	Failed
TSLA	0.407813682049065	0.1679293495315371	13.918715248549814	20.593329631256577	Passed
TXN	-0.10580757232520757	0.01486143893696996	0.7440057042085354	4.1305420425124915	Failed
TXRH	-0.12326059623055335	0.11648339309899565	0.5622570736074127	3.3798232654596836	Failed
MIDD	-0.08565341952545359	-0.07608372921615202	0.009980525803310646	0.7648660221817016	Failed
WEN	-0.10323420635519652	0.03662260611612799	0.24166399958197538	1.862779350641528	Failed
YORW	-0.17870662667173154	0.02279122498416323	0.3533785898528982	1.307352616471627	Failed
NCTY	-0.49217208262070783	-0.5877389725515326	-0.96912	-0.9949143610013175	Failed
ULTA	-0.25205873884249935	0.004278571060363854	0.44391328515842116	2.144286636539703	Failed
USLM	0.4504420858607955	1.011426484796385	1.9490126969830899	3.1682595860905627	Passed
URBN	0.19682059046177133	0.4517906336088154	-0.2114713216957606	-0.1444805194805195	Failed
UTSI	-0.0027123287671232932	-0.03955145118733513	-0.7672570332480818	-0.6818094405594405	Failed
VEON	0.03641456582633045	1.1337946943483277	-0.7048698077027384	-0.910272794953936	Failed
VRA	0.10356536502546695	1.1523178807947019	-0.5306859205776173	-0.6894409937888198	Failed
VRSK	0.2638860506418183	0.4161005982002651	1.0724766601317914	2.807723981663517	Passed
VYNT	-0.6822429906542056	-0.9403717993686426	-0.9987813620071685	-0.9999430771806462	Failed
WBA	-0.3699481745541105	-0.24279246750361078	-0.6290614455208448	-0.4686177483133913	Failed
WDFC	0.14764824089269055	0.17260991849651786	0.34327322380080055	2.826994616501331	Passed
ABT	-0.06778033998550402	-0.030194886580419474	0.4693367376509599	2.495170957536354	Failed
ABBV	-0.06378380722934596	0.11143655487320073	0.9841752858141295	3.7716720254098712	Failed
ANF	1.0884586180713742	2.6262359920896503	1.9645557477675561	1.038736361480076	Passed
AFL	0.21665373188150158	0.3776036442587124	0.8860037136774154	2.100626518348037	Passed
APD	0.008679973614832637	0.2413587193679521	0.8660563773967233	2.3551390712665636	Passed
BABA	-0.16235156706248777	0.059330379123584534	-0.44344564444157014	0	Failed
ALL	-0.0018974093437926886	-0.10798329331149072	0.2840371990626471	1.6781952538072265	Failed
AMC	-0.8110204081632654	-0.8581929555895865	-0.948350507068618	0	Failed
AEO	0.20016086150271464	0.5681035321591906	-0.17910082826492243	0.5427192923674866	Failed
AXP	-0.05272740537265709	0.09430823406118645	0.49558246286334123	1.3236741814152748	Failed
AWK	-0.20980545988856836	-0.0499083883056793	0.4515179568098602	2.5656961132862306	Failed
AMN	-0.045565599804544395	-0.29770786516853937	0.5150281171223579	4.830597014925372	Failed
APTV	-0.05872646088138223	0.13827914074421882	0.24687221134979023	1.1927652540437375	Failed
ANET	0.21376290272130133	0.6666953010909717	2.0886297608150595	0	Passed
APAM	0.1686888378092661	0.43833654289943186	0.8277514864700883	0.674479359667976	Passed
ASGN	0.00557385355966554	-0.14378168482364362	0.10757639179573034	1.4659832246039144	Failed
ASH	-0.21904255644996348	-0.1538016829753977	0.023160925194302302	1.0572350698194977	Failed
T	-0.23718523993031737	0.03229770179812684	-0.20548080782532682	0.04132136114033693	Failed
AZO	0.007254967044430797	0.17251149954001838	2.3048619214313497	5.041954063855508	Passed
BAC	-0.04826226635514016	-0.1274457958751983	-0.02823232963313629	1.2279766177827915	Failed
BCS	0.033473198505106654	0.24902165405687463	0.020054864569739237	-0.4085901128002409	Failed
BNED	-0.38756410256410256	-0.6019166666666667	-0.8296969696969697	0	Failed
BAX	-0.12196151208681609	-0.32373287633286674	-0.4665656705438496	0.20934717708911252	Failed
BBY	-0.06111235519337589	0.11741830219372167	0.1232137373156565	1.4935177965948032	Failed
BILL	0.4933404368673416	-0.19070304605168176	0	0	Failed
BLK	0.002078014183300816	0.2120158321507831	0.5723410019702166	2.069388172538384	Passed
BX	0.3005584179572437	0.2611296219868054	2.4638094035050395	5.96726978523095	Passed
BA	-0.11349765813502394	0.44371677324909475	-0.49875813033412114	0.8786845799077603	Failed
BWA	-0.009982101231067825	0.36718147379968813	0.18087387035260405	0.011089532637300883	Failed
BP	-0.03507668108533231	0.25233066129537146	0.05872809957054875	0.5801471661500684	Failed
BMY	-0.18367699772939458	-0.15820188594868695	0.06744938752595145	0.594542645432364	Failed
BAM	0.031346749226006235	0	0	0	Failed
BBW	0.15332771693344568	1.106737250315472	2.7543364093844698	3.304896072450552	Passed
BURL	-0.36354263326116093	0.037827841291190316	-0.18957594853616916	0	Failed
CCJ	0.49227722772277227	0.4166265640038498	2.1942489954392093	1.4180972244505055	Passed
CPB	-0.2762541290747388	-0.12756248120699712	0.25400018431832405	0.3084335271998992	Failed
CNI	-0.08665598597583793	-0.004812426838105508	0.28429389612709616	1.4985888291247011	Failed
CP	-0.03664071260817141	0.06850142857980981	0.7267452333772623	2.1878210794395385	Failed
KMX	0.029224312140525347	0.06259027443428007	-0.06601777401608135	0.37052370109708116	Failed
CAT	0.2851405349471517	0.5310027900110316	0.9615471844107564	3.174115880633831	Passed
CNC	0.06346561647985456	-0.06161454156642609	-0.024657914843370227	3.284363081617086	Failed
CVX	-0.013605111280276569	0.05063758410994028	0.6119544761719284	1.0846209890995253	Failed
CYD	0.4070640357714237	0.3959167062334666	-0.15558145069301413	-0.28626917848125855	Failed
CMG	0.08133111006936818	0.23230431107354182	3.055256364607441	3.197618170091219	Passed
C	-0.0953967791677673	0.004356577604985247	-0.3311950939005927	0.028722322638951754	Failed
CLW	0.12991400491400482	-0.036154047681425265	0.2809888579387187	-0.2422245108135942	Failed
KO	-0.14130355743360618	0.004369783476472745	0.3537577349396362	0.9601044602151172	Failed
CL	-0.07106332376718584	0.032224611558300906	0.21037781041571246	0.475066666381539	Failed
CTVA	-0.158038170057785	-0.16844994417566064	0	0	Failed
CVS	-0.08373975248643901	-0.18446887550318944	0.02450763729465482	0.5610172507382074	Failed
DE	0.03084136632911655	0.07623333684932088	1.6042501549657493	4.567706303271877	Failed
DAL	0.10061298453369916	0.2616427770331264	-0.2676233860322942	0.6520553587979029	Failed
DB	0.06147634495005109	0.4379014701534657	0.030361974828353133	-0.7415046843216552	Failed
DEO	-0.16928364954373037	-0.07161048771665027	0.21327790607174887	0.5788421823995736	Failed
DLR	0.3180990713673664	0.32668090142411627	0.2821661255576772	2.344789458085402	Passed
DFS	-0.07214833909426446	-0.025535603824022885	0.29658435034823133	1.1664468220235475	Failed
DG	-0.5061722514248695	-0.5609891401239494	0.04799529327087345	0.938688304475234	Failed
D	-0.2619860892341999	-0.3190135658376704	-0.2844960415644313	0.0010658830985510496	Failed
PLOW	0.014333190613085444	0.10135409364277016	-0.16352814580671193	1.870192307692308	Failed
DXC	-0.13621665319320928	-0.19540662650602403	-0.7563983895163533	0	Failed
EMN	-0.06866574272395115	0.060749125369870295	-0.04061923667451008	0.22198986634485834	Failed
ENB	-0.15435089388459086	-0.08078251926832364	0.3190293403195185	0.34489156758904305	Failed
EDR	-0.09993765421799947	-0.02571633612311144	0	0	Failed
ET	0.12949121088715906	0.28044647031323033	0	0	Failed
EXR	-0.2552375925297541	-0.25135648999134624	0.6480613170028978	2.6519493805058874	Failed
XOM	-0.05251943895571145	0.09602630381313246	0.6242259275986553	0.9062848523549744	Failed
FICO	0.29906903423455583	1.171854798607658	2.960284716869928	14.819249965591428	Passed
FE	-0.16151236784113707	-0.011864396888295055	0.10217871021917287	0.41192952026750923	Failed
FMC	-0.4552344860255803	-0.41950013590297824	0.005682691814873618	0.3351819049785976	Failed
FL	-0.4978548763741592	-0.3423191822301705	-0.5075687451023156	-0.2248905246434317	Failed
F	-0.0037680499709177883	0.029576519989197317	0.5605704476429418	0.07101299548692294	Failed
FTS	-0.09811279006518107	0.10241810749210448	0.4587900207280158	0	Failed
BEN	-0.07683901057459942	0.14939775199072422	-0.0270708709317652	-0.31209299791534645	Failed
FCX	-0.0834155340536879	0.28640120051571444	1.9146859286455422	0.243275172355094	Failed
FCN	-0.052994011976047924	0.098963460536221	1.6387652947719689	4.025953389830509	Failed
GPS	0.13108440648414837	0.119484491044124	-0.5478805522473644	-0.6424510070672611	Failed
GRMN	0.09732632042590282	0.37049452990216836	0.7593300190139595	2.134608284722735	Passed
GD	-0.016612602864673535	0.0065526145014237905	0.20508399261191576	2.211656235671375	Failed
GE	0.1926338516713136	1.219187300045192	0.4365357155744338	-0.06998979633552457	Failed
GIS	-0.2684108980903053	-0.1456123248395887	0.71650359562043	0.8357976127874216	Failed
GM	-0.10183817972537755	-0.07175708273378054	-0.02239320674010853	0.13338761856554934	Failed
GSK	-0.015914528216267904	0.2661463893236048	-0.06179842873635907	-0.017531631996568823	Failed
GMED	-0.077070954211814	-0.11674193008864353	0.028432327166504397	2.0721349621873184	Failed
GS	-0.01511400351681961	0.06911985788862515	0.5531417221940016	1.394224072341609	Failed
HRB	0.22254436435771538	0.10912052117263832	1.0007050943063636	1.0868872386283543	Failed
HOG	-0.16285222473750918	-0.14052977460570917	-0.23075749407492543	-0.41321042759016674	Failed
HES	0.04006295362168985	0.1500242796063151	1.1772472061276842	1.1447472467276592	Passed
HD	0.028528837058510052	0.05770033076162596	0.6852823547219504	3.859147450449374	Failed
HMC	0.25411404515882147	0.49370065819461423	0.3178478503034229	0.12508840716046513	Failed
H	-0.03151158207155604	0.2648384127137943	0.4046897427515616	1.4166820959081652	Failed
IMAX	0.0005047955577991703	0.35567715458276344	-0.190359477124183	-0.2659259259259259	Failed
ICE	0.03187668850222459	0.25065138092756645	0.5580014079341727	2.255794833246223	Passed
IQV	0.01434918041158134	0.10147499168237764	0.5544252288911493	3.516598453842656	Failed
